State,County,lng,lat
Florida,Martin,-156.5692176,20.86402572
South Carolina,Charleston,-156.5692176,20.86402572
Hawaii,,-156.5692176,20.86402572
Florida,Key West,-155.5211676,19.60123507
Massachusetts,Barnstable,-155.5211676,19.60123507
Hawaii,,-155.5211676,19.60123507
Florida,Dade,-123.6560294,45.99500314
Florida,Martin,-123.6560294,45.99500314
Hawaii,,-123.3914743,39.44027921
Florida,Palm Beach,-122.8872965,38.52842052
Florida,Collier,-122.8872965,38.52842052
Florida,Indian river,-122.8872965,38.52842052
Florida,Sarasota,-122.8872965,38.52842052
Hawaii,North Kona,-122.7234103,38.07351203
California,Marin,-122.7234103,38.07351203
Florida,Okalosa,-122.7234103,38.07351203
Hawaii,,-122.7234103,38.07351203
California,Monterey,-122.7234103,38.07351203
Oregon,Clatsop,-122.7234103,38.07351203
Florida,St Lucie,-122.328899,37.42298018
South Carolina,Horry,-122.328899,37.42298018
Hawaii,Oahu,-122.328899,37.42298018
Hawaii,Hawaii,-122.328899,37.42298018
Massachusetts,,-121.2387503,36.21711865
Hawaii,,-121.2387503,36.21711865
California,San Mateo,-121.2387503,36.21711865
Florida,,-121.2387503,36.21711865
California,Monterey,-121.2387503,36.21711865
South Carolina,Georgetown,-121.2387503,36.21711865
California,San Barbara,-121.2387503,36.21711865
Florida,Mantee,-120.4042917,35.38707354
Florida,Broward,-120.4042917,35.38707354
California,Monterey,-120.4042917,35.38707354
California,Humboldt,-120.4042917,35.38707354
California,San Luis Obispo,-120.4042917,35.38707354
North Carolina,Currituck,-120.4042917,35.38707354
California,San Luis Obispo,-120.4042917,35.38707354
California,Marin,-118.224703,34.32134579
Hawaii,Oahu,-118.224703,34.32134579
Florida,Indian river,-118.224703,34.32134579
California,San Franscisco,-116.7353982,33.03386576
California,Orange,-116.7353982,33.03386576
North Carolina,Brunswick,-116.7353982,33.03386576
Florida,dade,-116.7353982,33.03386576
California,Orange,-116.7353982,33.03386576
California,San Barbara,-110.8466869,31.52598116
California,Humboldt,-98.50873333,27.68142846
Florida,Jacksonville,-98.50873333,27.68142846
Florida,Duval,-98.50873333,27.68142846
South Carolina,Georgetown,-96.99699873,28.11898396
Texas,Galveston,-96.88123961,35.7027284
Florida,Sarasota,-96.88123961,35.7027284
Hawaii,Kaua'i,-95.45158629,29.18949785
California,San Mateo,-94.95985195,29.3895025
California,Marin,-94.83822279,38.56363954
Texas,Brazoria,-94.20722537,42.7764426
Hawaii,Oahu,-94.20722537,42.7764426
California,Humboldt,-94.20722537,42.7764426
California,San Luis Obispo,-94.20722537,42.7764426
Hawaii,Hapuna,-93.8503345,37.431814
Florida,,-93.8503345,37.431814
Massachusetts,Barnstable,-93.8503345,37.431814
Florida,Palm Beach,-93.8503345,37.431814
California,,-88.68047663,34.28973933
Hawaii,,-88.20659057,30.77909854
Florida,Seashore,-87.72274477,30.72782468
Alabama,Baldwin,-87.72274477,30.72782468
North Carolina,New Hanover,-87.16176056,31.12613571
Florida,Martin,-87.16176056,31.12613571
Florida,Palm Beach,-86.80307723,38.7079435
Florida,Duval,-86.80307723,38.7079435
Florida,Martin,-86.80307723,38.7079435
California,Monterey,-86.80307723,38.7079435
California,Marin,-86.80307723,38.7079435
California,San Diego,-86.80307723,38.7079435
California,Humboldt,-86.49522904,38.5412136
Texas,,-86.49522904,38.5412136
Florida,Dade,-85.71679611,36.71217333
Massachusetts,Barnstable,-85.71679611,36.71217333
California,San Diego,-85.71679611,36.71217333
Florida,Martin,-85.71679611,36.71217333
Hawaii,,-85.71679611,36.71217333
North Carolina,Carteret,-85.38857248,36.78661047
